42 1:1 2:0 3:113 4:4 5:-20 6:0 7:3 8:0 9:69 10:189 11:21 12:10 13:1 14:0 15:1
0 1:0 2:2 3:1 4:0 5:-29 6:5 7:92 8:9 9:6 10:259 11:6 12:3 13:1 14:0 15:1
28 1:16 2:3 3:26 4:7 5:33 6:0 7:38 8:2 9:39 10:493 11:10 12:7 13:3 14:2 15:1
0 1:18 2:6 3:0 4:0 5:44 6:0 7:0 8:0 9:89 10:67 11:0 12:3 13:1 14:0 15:-1
1 1:2 2:2 3:14 4:3 5:29 6:0 7:3 8:0 9:58 10:138 11:11 12:8 13:1 14:0 15:1
1 1:2 2:12 3:37 4:3 5:34 6:2 7:39 8:3 9:18 10:262 11:16 12:12 13:1 14:1 15:-1
2 1:0 2:0 3:3 4:2 5:-6 6:1 7:8 8:1 9:28 10:144 11:32 12:4 13:0 14:0 15:1
1 1:-48 2:-17 3:10 4:3 5:22 6:0 7:3 8:0 9:75 10:76 11:15 12:8 13:1 14:1 15:-1
2 1:20 2:12 3:9 4:5 5:-4 6:2 7:38 8:3 9:23 10:422 11:18 12:8 13:1 14:0 15:1
7 1:15 2:14 3:4 4:3 5:20 6:1 7:12 8:1 9:40 10:163 11:4 12:2 13:1 14:1 15:1
35 1:11 2:7 3:13 4:3 5:26 6:0 7:13 8:0 9:62 10:125 11:10 12:2 13:1 14:0 15:1
0 1:1 2:0 3:8 4:6 5:19 6:0 7:-1 8:0 9:54 10:109 11:10 12:17 13:3 14:2 15:-1
1 1:5 2:1 3:6 4:3 5:62 6:0 7:5 8:1 9:59 10:139 11:10 12:17 13:3 14:2 15:-1
0 1:15 2:16 3:3 4:4 5:0 6:0 7:31 8:1 9:31 10:317 11:6 12:2 13:1 14:0 15:-1
11 1:8 2:0 3:15 4:14 5:-3 6:1 7:-2 8:1 9:53 10:601 11:16 12:6 13:1 14:0 15:-1
0 1:5 2:5 3:7 4:0 5:28 6:0 7:0 8:0 9:67 10:80 11:13 12:24 13:3 14:2 15:-1
2 1:13 2:7 3:5 4:6 5:36 6:3 7:233 8:4 9:18 10:829 11:21 12:12 13:1 14:1 15:1
1 1:9 2:4 3:5 4:1 5:-17 6:1 7:7 8:2 9:40 10:1163 11:1 12:5 13:0 14:0 15:-1
0 1:1 2:1 3:18 4:5 5:-14 6:0 8:0 9:54 10:99 11:11 12:7 13:1 14:1 15:-1
0 1:8 2:3 3:8 4:54 5:14 6:0 7:4 8:0 9:85 10:62 11:21 12:14 13:2 14:1 15:-1
